AFRAID, ALIVE, ANGRY, CONFUSED, DEPRESSED, GOOD, HAPPY, HELPNESS, HURT, INDIFFERENT, INTERESTED, LOVE, OPEN, POSITIVE, SAD, STRONG
1, 3, 0, 20, 0, 1, 3, 2, 0, 2, 3, 0, 6, 0, 6, 15
3, 5, 4, 12, 3, 1, 2, 9, 0, 19, 3, 0, 3, 0, 6, 26
1, 7, 0, 15, 3, 5, 0, 4, 2, 6, 9, 1, 2, 0, 6, 7
0, 4, 1, 13, 9, 1, 4, 8, 0, 16, 0, 0, 2, 1, 13, 33
2, 2, 1, 8, 6, 5, 2, 6, 0, 5, 5, 0, 2, 0, 8, 10
3, 5, 1, 6, 3, 1, 3, 1, 1, 7, 2, 1, 4, 0, 6, 14
3, 2, 1, 2, 5, 5, 3, 2, 1, 1, 3, 0, 5, 0, 2, 26
32, 6, 0, 9, 6, 1, 2, 7, 0, 16, 0, 0, 7, 0, 12, 27
0, 1, 1, 7, 1, 2, 3, 5, 2, 7, 0, 1, 3, 1, 4, 8
0, 2, 0, 3, 5, 1, 2, 5, 4, 3, 4, 0, 2, 1, 12, 33
3, 4, 2, 6, 2, 1, 2, 10, 0, 15, 3, 0, 3, 0, 13, 13
6, 10, 1, 19, 7, 4, 3, 9, 1, 9, 2, 0, 8, 1, 5, 23
2, 2, 2, 19, 5, 2, 5, 2, 2, 5, 4, 1, 1, 0, 9, 8
0, 2, 0, 4, 2, 2, 4, 2, 1, 6, 1, 0, 5, 0, 6, 10
2, 2, 0, 7, 1, 2, 0, 2, 1, 3, 3, 0, 1, 2, 1, 2
4, 1, 1, 4, 6, 6, 5, 2, 1, 10, 0, 0, 9, 0, 9, 14
0, 5, 0, 6, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 6, 30
1, 7, 0, 6, 3, 1, 6, 5, 0, 4, 3, 0, 5, 1, 4, 14
6, 8, 1, 17, 2, 6, 5, 21, 4, 6, 8, 0, 3, 1, 19, 16
3, 0, 1, 13, 3, 1, 2, 2, 3, 6, 0, 0, 7, 1, 6, 21
0, 0, 0, 3, 1, 2, 2, 2, 0, 1, 2, 0, 0, 0, 3, 15
2, 8, 1, 42, 5, 2, 7, 8, 0, 10, 1, 0, 9, 2, 11, 17
4, 6, 2, 24, 10, 6, 0, 5, 1, 8, 7, 1, 5, 3, 13, 14
3, 4, 0, 2, 5, 3, 5, 4, 3, 11, 2, 0, 3, 0, 43, 5
2, 2, 0, 7, 2, 2, 1, 12, 3, 9, 6, 0, 4, 2, 15, 12
0, 0, 1, 4, 1, 0, 1, 5, 0, 3, 0, 0, 2, 0, 4, 13
2, 1, 0, 1, 0, 18, 1, 1, 0, 4, 4, 0, 1, 0, 3, 11
0, 0, 0, 3, 0, 0, 1, 0, 0, 3, 0, 0, 0, 2, 1, 5
1, 2, 2, 20, 5, 6, 7, 4, 3, 10, 3, 2, 2, 1, 2, 23
0, 3, 0, 6, 18, 3, 1, 11, 2, 10, 5, 0, 1, 0, 6, 25